employee_id,project_id,work_date,start_time,end_time,break_duration,hours_worked,overtime,absent,shift_type,remarks
2497,325,2024-01-13,07:08:00,19:22:00,,0.0,1.37,False,,Worker hold beyond very but career fact no.
2848,389,2024-04-10,,20:11:00,,8.52,0.0,False,day,System everybody provide my statement once growth nation wrong page.
1150,312,2024-06-19,07:56:00,21:11:00,34.0,10.82,0.0,True,,Another of college good mean ball.
2653,403,2024-01-11,,,57.0,0.0,2.67,False,,Evening win region address school up.
1554,487,2024-03-05,,,50.0,9.42,3.05,False,day,Machine since safe feel beyond speak.
2673,124,2024-09-29,08:08:00,,50.0,0.0,3.98,False,,Lot rather beat staff similar laugh together three kitchen activity design.
2036,337,2024-04-22,,,36.0,8.02,0.0,True,,Spring property city agent even even occur.
1184,436,2024-01-20,,17:00:00,,0.0,0.68,False,morning,Rock specific important simple public yet.
2566,119,2024-09-18,,17:31:00,60.0,0.0,0.63,True,,Particular traditional big need present style develop teach general.
3617,173,2024-10-26,10:18:00,17:41:00,34.0,0.0,0.0,False,,Stage right forward prove much song face nor.
3692,416,2024-09-12,,,,0.0,0.0,False,,Yes technology bag air people prevent place above arm.
3296,224,2024-08-06,08:06:00,,,0.0,0.0,True,morning,Surface food knowledge evening operation move key including concern.
3894,114,2024-03-19,,,,11.7,2.02,True,,Structure pay dog evening commercial camera spring leg.
2344,278,2024-03-07,,,55.0,11.37,0.0,False,morning,Born modern produce despite control.
2370,439,2024-06-17,06:03:00,,42.0,0.0,3.93,False,,Our to rise whatever tree soon man.
1254,48,2024-02-05,,,,0.0,0.3,True,,Music crime history right next.
1237,175,2024-09-25,07:07:00,16:37:00,52.0,0.0,0.43,True,,Themselves three owner pattern task threat film close fast security.
2085,274,2024-04-08,07:06:00,,55.0,0.0,2.82,True,,Child follow final Mrs occur.
1190,216,2024-06-18,07:51:00,,,8.75,0.0,True,morning,Page sea other under can over discuss maybe offer community build.
1172,261,2024-10-07,07:26:00,19:10:00,,0.0,3.6,True,morning,Report oil throughout want mention tough morning team success charge.
2361,343,2024-10-20,07:33:00,15:59:00,,0.0,1.75,False,,Three cup just commercial instead career.
1996,7,2024-01-06,,16:15:00,32.0,0.0,3.63,False,,Several create system property despite.
2247,424,2024-10-14,06:10:00,,,10.25,0.0,False,,Whom again really central letter.
2540,20,2024-04-07,,,,9.5,3.02,False,,Establish own care relate official against interesting station explain traditional.
2096,142,2024-01-02,08:15:00,17:51:00,,0.0,1.9,True,morning,Movie our face able should happen.
1073,144,2024-04-29,,,,0.0,0.0,True,morning,Nothing light serious term treat walk.
2060,295,2024-03-03,,15:38:00,46.0,0.0,2.88,True,morning,Lead happen model energy deal.
3291,124,2024-05-23,08:05:00,14:52:00,,8.98,0.0,False,morning,Easy sound turn director capital.
3354,168,2024-07-29,10:43:00,20:30:00,53.0,0.0,0.0,True,,Nothing sea produce consider choose.
2714,193,2024-10-05,,,35.0,9.78,3.73,False,day,Shoulder themselves site relate fly house picture role during.
1296,440,2024-06-16,09:01:00,,,8.08,0.0,False,day,Position if right theory place today skill how while.
1718,287,2024-09-05,10:46:00,,,0.0,0.0,True,morning,Major movie bank scientist perhaps relate threat.
3639,496,2024-06-17,,,37.0,11.2,0.0,False,day,Heavy report hold live choice.
3001,445,2024-06-17,08:35:00,18:05:00,53.0,10.65,3.43,False,morning,Discussion research hot nature pretty.
2954,64,2024-01-06,07:57:00,,54.0,0.0,0.0,False,day,However course size player interest artist.
1107,399,2024-03-06,,18:04:00,57.0,8.52,1.75,True,,West surface guy exactly whose season decision direction protect building.
3874,263,2024-01-16,07:18:00,,,0.0,2.03,False,day,Wait local follow well somebody character.
1077,150,2024-03-01,,,49.0,8.42,0.0,False,,Religious able offer area nation.
3839,167,2024-02-28,,15:46:00,,0.0,2.8,False,morning,Head break no task stock old place my while ten.
3593,121,2024-08-09,,,,0.0,0.03,True,,Week imagine hair couple turn animal huge.
1894,333,2024-08-04,,18:55:00,,0.0,0.6,False,morning,Necessary student record number thought baby.
2925,258,2024-09-06,07:19:00,17:45:00,47.0,9.62,0.0,False,,Economic tax begin beautiful real ever those thousand world head.
1937,40,2024-09-13,06:31:00,17:32:00,,10.8,0.0,True,,Evening mother value claim name middle thing same discuss.
1766,85,2024-08-03,06:12:00,,,10.13,0.0,False,,Matter discussion thank professional strategy respond upon.
3324,95,2024-06-04,09:44:00,16:23:00,38.0,10.85,0.0,True,,Tough ball make possible officer everyone.
3199,191,2024-06-30,06:25:00,,41.0,0.0,2.13,False,,Late throughout blue either side him from.
2743,55,2024-02-07,07:12:00,,45.0,0.0,0.0,True,,Live mind standard able.
2800,34,2024-09-12,10:19:00,,,0.0,0.0,False,day,Available away bill cover white expect never far.
3490,262,2024-05-16,,,37.0,9.05,0.0,False,,Book trip different animal single.
1452,405,2024-10-02,,21:21:00,51.0,0.0,0.0,False,morning,Kitchen person appear option apply recently.
3364,498,2024-05-31,,16:11:00,,9.18,3.18,False,,These nothing near size director able follow.
1127,208,2024-02-02,10:36:00,17:12:00,,0.0,1.55,False,day,Usually way radio lose.
1688,310,2024-03-07,09:02:00,19:29:00,,11.02,0.0,True,,Across almost year center peace sport music.
2919,340,2024-04-03,08:07:00,20:05:00,37.0,10.53,0.0,True,,Every road against cell sing clear responsibility town.
3793,457,2024-07-25,07:05:00,22:26:00,,10.87,2.95,True,day,Consider foot item performance field seek he.
1555,438,2024-01-03,07:22:00,14:29:00,,11.4,0.75,False,,Indicate station from travel kid that week board.
2062,166,2024-10-22,06:54:00,,58.0,10.1,0.17,True,day,Wind remain out ever off every sport stage carry.
2289,261,2024-10-13,10:58:00,,,0.0,1.67,False,,Go view end medical already use purpose effort election someone.
3089,282,2024-10-02,,,,0.0,0.0,True,morning,Buy myself tend defense fire notice step society.
1706,288,2024-06-23,,16:46:00,53.0,9.33,0.0,True,,Student many still because send carry live already much never rock.
2876,46,2024-02-18,,,40.0,0.0,0.0,True,morning,Most second thousand road role herself decision ever our seek.
2268,201,2024-10-18,,,,0.0,0.0,True,morning,Produce message game unit design give light product very reach.
1476,350,2024-07-26,,16:48:00,46.0,11.43,2.82,True,morning,House color single what executive who on must affect particularly.
1844,161,2024-01-12,08:36:00,,59.0,11.38,0.28,True,,Maybe few order box shoulder son strategy light.
2855,488,2024-05-29,07:12:00,,,0.0,0.95,False,morning,Miss trip sell pull chance dark Congress book.
3828,3,2024-03-08,,18:13:00,43.0,0.0,0.0,False,,Executive account live I audience.
1611,476,2024-04-14,08:13:00,,,10.72,0.0,False,,Week offer to with them thing look fear during size.
1210,156,2024-07-08,06:58:00,18:31:00,58.0,0.0,3.65,False,morning,Note actually impact control pick.
2796,454,2024-07-01,,,,11.68,3.8,True,morning,Account able go participant fall worry method raise attention than.
3748,458,2024-10-30,,17:28:00,,0.0,0.97,False,,Son memory industry range door culture.
2562,140,2024-01-14,,,,0.0,1.78,True,,Candidate at remember ever degree one nice several late.
3078,70,2024-08-14,,19:41:00,51.0,0.0,1.32,True,day,Goal only spring use exist especially simply open give claim.
1620,400,2024-04-14,06:17:00,,47.0,0.0,0.0,True,,Near sister education window certain front oil lose.
3092,30,2024-01-19,,,,9.12,0.0,False,day,Happy become station claim between.
3884,480,2024-04-07,,,,0.0,0.0,False,morning,Or our modern area pass many turn make strong consider.
1445,421,2024-04-13,,,49.0,0.0,0.68,True,morning,Inside see some themselves mouth responsibility within over.
2800,312,2024-07-23,,19:45:00,,11.27,0.0,False,,Meeting option they table performance stay agency reality.
2150,277,2024-06-17,07:49:00,17:56:00,,0.0,1.37,True,,Page sport choose different something finish truth them of data.
2378,408,2024-04-05,,22:36:00,,11.85,0.0,False,,Create fear stand group.
3287,20,2024-04-05,10:45:00,19:03:00,51.0,9.63,0.28,True,,Want method pressure best decide stock office personal medical.
2509,320,2024-02-21,09:39:00,,56.0,11.5,0.0,True,morning,Land happy agent little none whom particular election.
1784,202,2024-03-30,08:22:00,,43.0,0.0,0.43,False,,To learn above such word him may little throughout continue.
2315,133,2024-05-04,,,,11.05,0.0,True,day,Central attention career behind back fly guess this camera his.
3982,273,2024-03-25,08:07:00,19:33:00,33.0,0.0,0.0,False,morning,Need someone where town hotel manager production pattern product customer.
1244,23,2024-03-21,09:45:00,,38.0,8.62,3.22,True,day,Usually recently describe owner thus best account give quality this city.
2373,257,2024-06-19,,16:36:00,,0.0,0.0,False,day,Pm understand major me resource two.
3656,387,2024-02-17,06:38:00,,35.0,8.18,0.0,True,day,Wonder assume popular to.
1497,371,2024-02-13,,,37.0,9.07,0.0,False,morning,Natural go prove light skill thus so.
2306,215,2024-01-29,09:41:00,,,10.53,0.18,False,morning,Cup piece also million door sometimes whole idea.
1801,114,2024-02-15,06:30:00,19:40:00,,0.0,0.0,True,,Music part hard sing form focus election long half our.
1154,123,2024-02-18,09:22:00,,,0.0,0.0,False,day,Board game suddenly computer try.
2911,456,2024-05-17,,,,0.0,2.88,False,,Stuff PM rule others bag television purpose keep mention.
2433,53,2024-06-13,08:56:00,17:59:00,,0.0,3.1,False,,South choice space significant.
2646,242,2024-04-04,09:30:00,17:48:00,60.0,0.0,0.0,False,,Sport travel central music anything church scene action finally cut.
3254,479,2024-10-30,07:24:00,19:25:00,,9.25,3.47,False,morning,Else court home exist town growth place.
2287,82,2024-05-03,07:18:00,17:20:00,,0.0,1.82,True,,Expect PM control medical.
1772,133,2024-10-28,08:05:00,18:20:00,,9.7,1.33,True,morning,Road control help positive loss impact lead.
3182,288,2024-04-08,08:12:00,18:51:00,,0.0,0.0,True,,Dinner according edge here off include.
3883,148,2024-05-09,,17:04:00,60.0,9.75,0.0,True,day,Stage receive home management various.
2193,83,2024-04-10,06:36:00,19:03:00,,8.68,0.22,False,morning,Half color statement since both according Congress.
1563,203,2024-04-23,,,31.0,0.0,2.98,True,morning,Risk bank opportunity keep at use treatment federal though certainly.
3648,427,2024-08-23,,17:52:00,,11.47,3.68,True,,Clearly late good author standard when center.
1490,365,2024-05-12,,19:07:00,40.0,9.62,1.3,True,morning,Sense he appear news make play wait hard industry after.
2063,486,2024-05-26,,19:20:00,,9.78,3.03,True,,Former space only allow eye democratic.
3113,119,2024-05-02,,,51.0,9.83,1.75,True,day,Join PM drop letter protect paper here yet wide.
1797,36,2024-03-09,08:58:00,,,9.07,0.6,False,morning,Sense dream central act him on whom I.
1632,102,2024-05-05,,,,0.0,0.0,True,morning,Less daughter individual administration growth mother quite voice best chair century.
1501,344,2024-06-29,07:11:00,19:32:00,36.0,8.87,1.92,True,,But begin I eye success rest by successful.
1219,445,2024-08-22,,17:57:00,34.0,0.0,0.0,True,day,Life per wear story within people service might address argue.
2488,232,2024-01-04,,,,11.82,0.0,True,morning,War need site smile fight look something.
1708,276,2024-06-21,,16:03:00,54.0,9.65,2.47,True,,Special wait happy leg determine tell prepare whatever become pretty.
1603,211,2024-07-14,,17:19:00,42.0,11.17,1.43,False,day,Main control something detail hit sound civil likely.
3262,395,2024-05-12,08:03:00,16:40:00,,8.0,1.85,True,day,Maintain space and statement actually imagine.
2037,12,2024-02-20,08:01:00,,55.0,0.0,0.0,True,,Green hard area believe have culture door customer.
1415,49,2024-05-15,09:42:00,,42.0,0.0,1.53,True,day,Only security improve skin school want.
1847,155,2024-02-01,09:43:00,,,9.65,0.65,False,,Cut federal car raise analysis save position.
1426,158,2024-06-21,,14:54:00,35.0,0.0,3.33,True,,We thing read record particularly letter thing.
3055,302,2024-08-21,09:32:00,16:43:00,,8.78,0.63,True,morning,Rich improve must since expert health research benefit.
2727,231,2024-02-29,,18:25:00,31.0,8.92,0.57,False,,Walk themselves individual suddenly pressure much thus treatment pull.
1715,206,2024-01-18,06:20:00,,32.0,0.0,2.0,True,day,New side force they approach agree consider fight ask.
1322,187,2024-04-07,10:32:00,,,9.73,0.0,True,,Science plan eat activity list do.
3861,166,2024-01-10,10:02:00,,53.0,0.0,0.0,False,,Recently sport year particularly visit to nor spend hotel trial evening.
1126,153,2024-05-24,,,59.0,0.0,1.13,True,morning,Score phone skin home something exist moment.
1143,121,2024-08-08,,,49.0,0.0,2.98,True,,Best much other look amount adult war a fall.
2184,1,2024-05-08,,,,0.0,0.78,True,morning,Set until after wide alone blue school fall loss.
2213,423,2024-07-15,08:14:00,,30.0,0.0,0.0,False,,Energy process try explain which little.
1923,75,2024-04-13,,,57.0,0.0,1.62,False,,Education subject chance body attorney manager pretty goal six worker.
1036,389,2024-09-28,07:33:00,18:00:00,,0.0,0.0,True,,Skill leg these TV seven build wall hit student thousand.
3028,441,2024-03-17,09:37:00,,,0.0,0.0,False,,Against their author continue present rule method manage.
2135,267,2024-08-08,10:35:00,18:47:00,41.0,9.52,0.0,True,morning,Oil here nature pull what far tell.
1792,12,2024-01-25,06:14:00,20:00:00,,8.8,0.0,False,day,What grow management point relationship give base.
1564,134,2024-07-02,,19:42:00,55.0,0.0,0.28,True,morning,Program worry me national common interesting song cost feel.
2866,46,2024-01-31,,,60.0,11.68,1.22,True,day,Senior raise parent though.
3042,492,2024-04-16,09:26:00,16:26:00,46.0,0.0,3.22,False,morning,Note spring behavior front choose seat.
3217,174,2024-03-24,,21:11:00,47.0,9.85,0.0,True,,Dog alone either interest more rich site central so in.
3721,174,2024-07-16,06:36:00,20:17:00,47.0,8.88,0.52,False,day,Week course suffer beat task dream want.
3479,54,2024-03-15,,17:44:00,60.0,0.0,1.37,False,,Modern arrive collection several camera defense popular produce he.
2731,231,2024-03-09,,21:51:00,43.0,10.77,2.47,True,morning,Outside I along protect cup imagine.
1211,313,2024-02-18,08:53:00,,51.0,0.0,0.0,False,morning,Bring environment itself exactly radio especially.
3542,195,2024-03-27,06:36:00,17:52:00,,0.0,3.5,False,,Far defense ball officer country quality three factor area.
3005,215,2024-07-05,09:11:00,,,8.08,2.68,True,day,Rather surface imagine bar risk low safe.
1473,259,2024-03-23,,18:34:00,,10.72,2.98,False,morning,Reach player rise instead sign.
1402,253,2024-07-30,,,53.0,10.12,0.08,False,morning,Happen brother thing easy space.
3130,353,2024-06-20,08:54:00,,55.0,10.8,0.0,True,,Kid appear Mrs apply hair western.
1084,359,2024-01-22,08:25:00,17:55:00,45.0,0.0,0.75,False,,Education move type positive north per walk southern success.
